legend,inflight_pkt,payload_size,tput_kpkts,bw_gbps,med_rtt_us,tail_rtt_us
afxdp,1,64,21.69,0.02,45,65
afxdp,1,1024,20.76,0.17,47,67
afxdp,1,2048,19.62,0.32,49,67
afxdp,1,3072,18.54,0.44,53,81
afxdp,2,64,40.96,0.04,46,73
afxdp,2,1024,38.44,0.32,49,95
afxdp,2,2048,36.65,0.59,52,84
afxdp,2,3072,35.28,0.84,54,82
afxdp,4,64,73.41,0.07,51,83
afxdp,4,1024,70.67,0.59,53,90
afxdp,4,2048,66.62,1.07,57,95
afxdp,4,3072,63.40,1.52,60,101
afxdp,8,64,125.71,0.12,59,99
afxdp,8,1024,119.56,0.99,62,104
afxdp,8,2048,111.19,1.79,70,121
afxdp,8,3072,97.31,2.33,77,126
afxdp,16,64,202.36,0.20,72,126
afxdp,16,1024,185.52,1.54,81,149
afxdp,16,2048,175.65,2.83,84,144
afxdp,16,3072,167.15,4.00,89,147
afxdp,32,64,308.85,0.31,90,150
afxdp,32,1024,290.29,2.41,96,161
afxdp,32,2048,263.29,4.25,111,191
afxdp,32,3072,252.58,6.05,114,188
afxdp,64,64,453.09,0.45,126,219
afxdp,64,1024,422.74,3.52,131,219
afxdp,64,2048,394.40,6.36,140,239
afxdp,64,3072,357.08,8.55,149,273
afxdp,128,64,553.61,0.55,188,333
afxdp,128,1024,511.81,4.26,222,416
afxdp,128,2048,478.88,7.72,226,389
afxdp,128,3072,399.34,9.56,302,418
afxdp,256,64,553.19,0.55,402,590
afxdp,256,1024,509.24,4.23,443,639
afxdp,256,2048,496.88,8.01,472,789
afxdp,256,3072,399.10,9.55,620,753
afxdp,512,64,564.20,0.56,834,1060
afxdp,512,1024,526.56,4.38,915,1166
afxdp,512,2048,499.46,8.06,793,2691
afxdp,512,3072,400.41,9.59,1256,1661
tcp,1,64,17.79,0.01,55,88
tcp,1,1024,15.87,0.13,59,134
tcp,1,2048,16.02,0.25,62,145
tcp,1,3072,15.49,0.37,62,242
tcp,2,64,23.37,0.01,82,138
tcp,2,1024,23.19,0.18,79,147
tcp,2,2048,24.62,0.39,65,181
tcp,2,3072,20.58,0.49,91,180
tcp,4,64,44.34,0.02,79,137
tcp,4,1024,43.69,0.34,84,153
tcp,4,2048,40.41,0.64,95,196
tcp,4,3072,39.53,0.93,95,183
tcp,8,64,79.56,0.04,92,195
tcp,8,1024,70.03,0.55,98,217
tcp,8,2048,70.00,1.10,97,181
tcp,8,3072,63.22,1.49,113,207
tcp,16,64,125.27,0.06,107,230
tcp,16,1024,101.66,0.80,125,233
tcp,16,2048,95.80,1.51,158,258
tcp,16,3072,85.08,2.01,161,268
tcp,32,64,183.80,0.09,155,277
tcp,32,1024,165.72,1.31,174,268
tcp,32,2048,144.79,2.28,189,292
tcp,32,3072,116.91,2.76,223,409
tcp,64,64,244.79,0.12,215,381
tcp,64,1024,206.97,1.63,234,404
tcp,64,2048,184.81,2.91,242,374
tcp,64,3072,151.09,3.57,305,489
tcp,128,64,295.67,0.15,188,300
tcp,128,1024,236.20,1.86,267,826
tcp,128,2048,212.79,3.35,351,581
tcp,128,3072,185.27,4.38,345,647
tcp,256,64,272.49,0.13,180,1425
tcp,256,1024,237.77,1.87,381,581
tcp,256,2048,211.64,3.34,274,681
tcp,256,3072,175.18,4.14,282,864
tcp,512,64,263.34,0.13,178,3001
tcp,512,1024,212.29,1.67,208,421
tcp,512,2048,215.93,3.40,400,2117
tcp,512,3072,180.58,4.27,395,1449
