legend,inflight_pkt,payload_size,tput_kpkts,bw_gbps,med_rtt_us,tail_rtt_us
afxdp,1,64,27.55,0.03,35,49
afxdp,1,1024,26.25,0.22,37,51
afxdp,1,2048,24.45,0.39,40,56
afxdp,1,3072,23.22,0.56,42,56
afxdp,2,64,51.72,0.05,37,51
afxdp,2,1024,49.03,0.41,39,63
afxdp,2,2048,46.20,0.75,41,57
afxdp,2,3072,44.17,1.06,43,61
afxdp,4,64,94.27,0.09,38,65
afxdp,4,1024,90.44,0.75,41,92
afxdp,4,2048,84.44,1.36,44,73
afxdp,4,3072,81.15,1.94,46,72
afxdp,8,64,162.55,0.16,44,70
afxdp,8,1024,153.21,1.27,48,74
afxdp,8,2048,142.69,2.30,52,83
afxdp,8,3072,137.90,3.30,54,82
afxdp,16,64,254.17,0.25,52,88
afxdp,16,1024,238.82,1.99,58,99
afxdp,16,2048,224.04,3.61,63,103
afxdp,16,3072,216.02,5.17,66,103
afxdp,32,64,379.59,0.38,64,119
afxdp,32,1024,364.29,3.03,68,112
afxdp,32,2048,337.82,5.45,76,136
afxdp,32,3072,325.45,7.79,83,140
afxdp,64,64,477.51,0.47,68,115
afxdp,64,1024,472.35,3.93,78,159
afxdp,64,2048,461.74,7.45,95,241
afxdp,64,3072,392.92,9.41,140,232
afxdp,128,64,481.72,0.48,70,157
afxdp,128,1024,491.99,4.09,81,157
afxdp,128,2048,492.22,7.94,90,160
afxdp,128,3072,392.48,9.40,300,372
afxdp,256,64,485.48,0.48,68,128
afxdp,256,1024,480.45,4.00,78,171
afxdp,256,2048,491.84,7.93,95,520
afxdp,256,3072,391.84,9.38,619,773
afxdp,512,64,483.78,0.48,72,887
afxdp,512,1024,491.36,4.09,80,205
afxdp,512,2048,499.26,8.05,92,190
afxdp,512,3072,395.25,9.46,1240,1369
tcp,1,64,19.62,0.01,49,81
tcp,1,1024,19.94,0.16,46,255
tcp,1,2048,16.47,0.26,65,177
tcp,1,3072,15.89,0.38,61,161
tcp,2,64,26.03,0.01,73,140
tcp,2,1024,21.73,0.17,80,150
tcp,2,2048,19.92,0.31,99,172
tcp,2,3072,20.23,0.48,100,183
tcp,4,64,39.11,0.02,113,274
tcp,4,1024,41.43,0.33,93,184
tcp,4,2048,35.73,0.56,105,193
tcp,4,3072,33.41,0.79,99,247
tcp,8,64,78.52,0.04,95,319
tcp,8,1024,64.34,0.51,107,212
tcp,8,2048,64.78,1.02,98,201
tcp,8,3072,60.75,1.44,118,227
tcp,16,64,120.70,0.06,106,231
tcp,16,1024,108.58,0.86,113,229
tcp,16,2048,89.72,1.41,169,305
tcp,16,3072,85.90,2.03,171,363
tcp,32,64,177.53,0.09,142,273
tcp,32,1024,144.05,1.14,186,488
tcp,32,2048,125.30,1.97,247,439
tcp,32,3072,100.76,2.38,247,497
tcp,64,64,222.19,0.11,261,482
tcp,64,1024,180.93,1.43,397,554
tcp,64,2048,164.03,2.59,280,434
tcp,64,3072,144.91,3.43,402,603
tcp,128,64,248.07,0.12,495,798
tcp,128,1024,213.30,1.68,534,901
tcp,128,2048,182.09,2.87,622,1142
tcp,128,3072,154.41,3.65,712,1242
tcp,256,64,277.11,0.14,883,1274
tcp,256,1024,211.55,1.67,1071,1725
tcp,256,2048,182.34,2.87,642,1791
tcp,256,3072,163.01,3.85,1009,2262
tcp,512,64,276.16,0.14,1768,3035
tcp,512,1024,212.13,1.67,2241,3327
tcp,512,2048,187.86,2.96,537,1244
tcp,512,3072,158.28,3.74,660,4284
